ID_Candidate,firstname,lastname,gender,city,district,group
47645,Mustafa,Atici,m,Basel,Basel-Stadt,SP/PS
47646,Eric,Nussbaumer,m,Liestal,Basel-Landschaft,SP/PS
47647,Simon,Bürki-Kopp,m,Biberist,Solothurn,SP/PS
47648,Valérie,Piller Carrard,f,Cheyres,Freiburg,SP/PS
47649,Barbara,Wiesmann,f,Zürich,Zürich,SP/PS
47650,Urs,Huber,m,Obergösgen,Solothurn,SP/PS
47651,Dario,Sulzer,m,Wil,St. Gallen,SP/PS
47652,Sabine,Asprion,f,Laufen,Basel-Landschaft,SP/PS
47653,Barbara,Gysi,f,Will,St. Gallen,SP/PS
47654,Natascha,Wey,f,Zürich,Zürich,SP/PS
47655,Caroline,Monnet,f,Riddes,Wallis,SP/PS
47656,Karin,Kälin,f,Rodersdorf,Solothurn,SP/PS
47657,Emmanuel,Amoos,m,Sierre,Wallis,SP/PS
47658,Samira,Marti,f,Ziefen,Basel-Landschaft,SP/PS
47659,Florian,Eberhard,m,Olten,Solothurn,SP/PS
47660,Martina,Malacrida Nembrini,f,Bellinzona,Tessin,SP/PS
47661,Yvonne,Apiyo Brändle-Amolo,f,Schlieren,Zürich,SP/PS
47662,Islam,Alijaj,m,Zürich,Zürich,SP/PS
47663,Nadine,Vögeli,f,Hägendorf,Solothurn,SP/PS
47664,Pierre,Mauron,m,Riaz,Freiburg,SP/PS
47665,Loïc,Dobler,m,Glovelier,Jura,SP/PS
47666,Susanne,Trost Vetter,f,Winterthur,Zürich,SP/PS
47667,Roxanne,Meyer Keller,f,Avenches,Waadt,SP/PS
47668,Flavien,Gousset,m,Zürich,Zürich,SP/PS
47669,Angela,Kummer,f,Grenchen,Solothurn,SP/PS
47670,Laura,Bucher,f,St. Margrethen,St. Gallen,SP/PS
47671,Miriam,Locher,f,Münchenstein,Basel-Landschaft,SP/PS
47672,Samuel,Bendahan,m,Lausanne,Waadt,SP/PS
47673,Bettina,Suber,f,St. Gallen,St. Gallen,SP/PS
47674,Davide,Loss,m,Adliswil,Zürich,SP/PS
47675,Jonas,Erni,m,Wädenswil,Zürich,SP/PS
47676,Andreas,Bammatter-Z'graggen,m,Allschwil,Basel-Landschaft,SP/PS
47677,Gallus,Hufenus,m,St. Gallen,St. Gallen,SP/PS
47678,Erika,Cahenzli-Philipp,f,Untervaz,Graubünden,SP/PS
47679,Andrea,Ghisletta,m,Genestrerio,Tessin,SP/PS
47680,Marina,Bruggmann,f,Salmsach,Thurgau,SP/PS
47681,Valérie,Induni,f,Cossonay-Ville,Waadt,SP/PS
47682,Bernhard,Hauser,m,Sargans,St. Gallen,SP/PS
47683,Patrick,Hadi Huber,m,Zürich,Zürich,SP/PS
47684,Roger,Nordmann,m,Lausanne,Waadt,SP/PS
47685,Mathias,Reynard,m,Savièse,Wallis,SP/PS
47686,Ludivine,Guex,f,Morges,Waadt,SP/PS
47687,Kerstin,Camenisch,f,Dietikon,Zürich,SP/PS
47688,Sandra,Strüby-Schaub,f,Buckten,Basel-Landschaft,SP/PS
47689,Sylvie,Progin,f,Cheseaux-Noréaz,Waadt,SP/PS
47690,Ada,Marra,f,Lausanne,Waadt,SP/PS
47691,Aurélie,Widmer,f,Valangin,Neuenburg,SP/PS
47692,Claudia,Alpiger,f,Gamsen,Wallis,SP/PS
47693,Sabine,Sieber,f,Sternenberg,Zürich,SP/PS
47694,Jon,Pult,m,Chur,Graubünden,SP/PS
47695,Stéphane,Montangero,m,Lausanne,Waadt,SP/PS
47696,Horst,Steinmann,m,Hagenbuch,Zürich,SP/PS
47697,Christian,von Wartburg,m,Basel,Basel-Stadt,SP/PS
47698,Barbara,Bussmann,f,Volketswil,Zürich,SP/PS
47699,Martin,Sailer,m,Unterwasser,St. Gallen,SP/PS
47700,Jean-Daniel,Strub,m,Zürich,Zürich,SP/PS
47701,Grégory,Jaquet,m,Bôle,Neuenburg,SP/PS
47702,Bruno,Storni,m,Gordola,Tessin,SP/PS
47703,Franziska,Roth,f,Solothurn,Solothurn,SP/PS
47704,Bernhard-Minnig,Imhof,m,Naters,Wallis,SP/PS
47705,Davide,Dosi,m,Chiasso,Tessin,SP/PS
47706,Sandra,Locher Benguerel,f,Chur,Graubünden,SP/PS
47707,David,Bonny,m,Prez-vers-Noréaz,Freiburg,SP/PS
47708,Blaise,Carron,m,Monthey,Wallis,SP/PS
47709,Pascal,Bassu,m,Wetzikon,Zürich,SP/PS
47710,Soner,Yaprak,m,Bettlach,Solothurn,SP/PS
47711,Hannes,Gassert,m,Zürich,Zürich,SP/PS
